"steps","type","price"
1,"european put",8.19327408763636
2,"european put",5.78725217379139
3,"european put",6.90405674537983
4,"european put",6.10730313710527
5,"european put",6.63655173229336
6,"european put",6.2060723683091
7,"european put",6.52223623800716
8,"european put",6.25004863067591
9,"european put",6.45897702345648
10,"european put",6.27331394547175
11,"european put",6.41884810951909
12,"european put",6.28688926556356
13,"european put",6.39113428950853
14,"european put",6.29530077538776
15,"european put",6.37084959127929
16,"european put",6.30070816265057
17,"european put",6.35536137700314
18,"european put",6.30425442199928
19,"european put",6.34314898507863
20,"european put",6.30659225066474
21,"european put",6.33327290166796
22,"european put",6.30811668626293
23,"european put",6.32512143107766
24,"european put",6.3090780462503
25,"european put",6.3182792233308
26,"european put",6.30964093095484
27,"european put",6.31245436304594
28,"european put",6.30991692164912
29,"european put",6.30743569598736
30,"european put",6.3099836017046
1,"american put",8.19327408763636
2,"american put",5.81440455225322
3,"american put",7.08044670900246
4,"american put",6.24905990945722
5,"american put",6.8216841292459
6,"american put",6.34800199590744
7,"american put",6.70174526021237
8,"american put",6.39991803839986
9,"american put",6.64209016545962
10,"american put",6.42969736495292
11,"american put",6.60014173675516
12,"american put",6.44308233098903
13,"american put",6.57227721036311
14,"american put",6.45121889991626
15,"american put",6.55075454516067
16,"american put",6.45813230302493
17,"american put",6.53360359396581
18,"american put",6.46371993384285
19,"american put",6.52077592154355
20,"american put",6.46705935811631
21,"american put",6.51056932087646
22,"american put",6.46921350947125
23,"american put",6.5019221134708
24,"american put",6.47060530949963
25,"american put",6.49456061418501
26,"american put",6.47161188828682
27,"american put",6.48858185476713
28,"american put",6.47184948707219
29,"american put",6.48342389181862
30,"american put",6.47162805876462
1,"european call",12.0753810083248
2,"european call",9.66935909447987
3,"european call",10.7861636660683
4,"european call",9.98941005779374
5,"european call",10.5186586529819
6,"european call",10.0881792889976
7,"european call",10.4043431586956
8,"european call",10.1321555513643
9,"european call",10.3410839441449
10,"european call",10.1554208661602
11,"european call",10.3009550302076
12,"european call",10.168996186252
13,"european call",10.2732412101971
14,"european call",10.1774076960762
15,"european call",10.2529565119678
16,"european call",10.1828150833391
17,"european call",10.2374682976916
18,"european call",10.1863613426879
19,"european call",10.225255905767
20,"european call",10.1886991713532
21,"european call",10.2153798223564
22,"european call",10.1902236069515
23,"european call",10.2072283517663
24,"european call",10.1911849669388
25,"european call",10.2003861440192
26,"european call",10.1917478516433
27,"european call",10.1945612837344
28,"european call",10.1920238423376
29,"european call",10.189542616676
30,"european call",10.1920905223933
1,"american call",12.0753810083248
2,"american call",9.66935909447987
3,"american call",10.7861636660683
4,"american call",9.98941005779374
5,"american call",10.5186586529819
6,"american call",10.0881792889976
7,"american call",10.4043431586956
8,"american call",10.1321555513643
9,"american call",10.3410839441449
10,"american call",10.1554208661602
11,"american call",10.3009550302076
12,"american call",10.168996186252
13,"american call",10.2732412101971
14,"american call",10.1774076960762
15,"american call",10.2529565119678
16,"american call",10.1828150833391
17,"american call",10.2374682976916
18,"american call",10.1863613426879
19,"american call",10.225255905767
20,"american call",10.1886991713532
21,"american call",10.2153798223564
22,"american call",10.1902236069515
23,"american call",10.2072283517663
24,"american call",10.1911849669388
25,"american call",10.2003861440192
26,"american call",10.1917478516433
27,"american call",10.1945612837344
28,"american call",10.1920238423376
29,"american call",10.189542616676
30,"american call",10.1920905223933
